OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
13020337,02/10/2013,00:15:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,IPST II,575,NULL,"Fourteenth Street, NW",NULL,NULL,1
13020338,02/10/2013,01:30:00,02/10/2013,02:17:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Alpha Chi Omega Sorority,741,NULL,"Brittain Drive, NW",NULL,NULL,1
13020339,02/10/2013,05:49:00,02/10/2013,06:34:00,9999F,NULL,Closed/Cleared,Prosecution Declined,ONCAM,Z1,Beta Theta Pi Fraternity,764,NULL,"Fowler Street, NW",NULL,NULL,1
13020340,02/10/2013,05:30:00,02/10/2013,11:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,"North Avenue Apartments, East Building",120,NULL,"North Avenue, NW",33.7712915716627,-84.3913324013709,1
13020341,02/08/2013,01:00:00,02/10/2013,11:55:00,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,Technology Square Parking Deck,770,NULL,"Spring Street, NW",33.7755588705121,-84.388811205367,1
13020342,02/10/2013,01:50:00,02/10/2013,02:00:00,2902,Damage to Property – Private,Inactive,NULL,NONCAM,Z2,Phi Delta Theta Fraternity House,734,NULL,"Fowler Street, NW",33.7794998804019,-84.4023369408856,1
13020343,02/10/2013,10:30:00,02/10/2013,13:00:00,2902,Damage to Property – Private,Inactive,NULL,ONCAM,Z3,Howey Physics Building Parking Lot,800,NULL,"Atlantic Drive, NW",33.773015851745,-84.3991790878087,1
13020344,02/08/2013,20:00:00,02/10/2013,12:00:00,2202,Burglary  – Forced Entry – Residence,Inactive,NULL,NONCAM,Z2,Sigma Chi Fraternity,770,NULL,"Techwood Drive, NW",33.7826725040838,-84.3916554170049,1
13020345,02/10/2013,17:25:00,02/10/2013,17:51:00,2308,Larceny – From Building,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,North Avenue Apartments,120,NULL,"North Avenue,NW",NULL,NULL,1
13020346,02/10/2013,18:55:00,02/10/2013,19:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Center Street Apartments   132  Z1,939,NULL,Hemphill Avenue NW,NULL,NULL,1
13020347,02/08/2013,19:00:00,02/11/2013,00:21:00,9999,Non-Crime (not reported to state),Inactive,NULL,ONCAM,Z1,Beringause Building,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
13020349,02/11/2013,08:31:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Marietta Street, NW @ Northside Drive, NW",NULL,NULL,NULL,33.774859,-84.406442,1
13020350,02/10/2013,18:50:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,Ferst Center for the Arts,349,NULL,Ferst Drive NW,33.7773969891614,-84.4023830181132,1
