OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
17010018,1/7/2017,8:10:00,1/7/2017,8:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue North Apartments,120,NULL,"North Avenue, NW",33.77058,-84.39095,1
17010059,1/12/2017,21:27:00,1/12/2017,21:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Klaus Advanced Computing Building   153   Z3,266,NULL,Ferst Drive NW,33.77716232,-84.39618136,1
17010102,1/16/2017,23:00:00,1/17/2017,1:00:00,1313,Simple Assault/Battery,Closed/Cleared,Prosecution Declined,ONCAMRES,Z4,Fitten Residence Hall,855,NULL,McMillan Street NW,33.77822144,-84.40373472,1
17010122,1/20/2017,17:00:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NULL,Z4,Student Health Center,740,NULL,"Ferst Drive, NW",33.77483366,-84.40311079,1
17010133,1/22/2017,2:21:00,1/22/2017,2:40:00,4104,Liquor � Possession Of,Closed/Cleared,Prosecution Declined,NONCAM,Z2,Sigma Phi Epsilon Fraternity,190,NULL,"Fifth Street, NW",33.77666974,-84.39332915,1
17010140,1/24/2017,0:08:00,1/24/2017,0:31:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Harrison Residence Hall,660,NULL,"Williams Street, NW",33.77276114,-84.39097668,1
17010142,1/18/2017,11:30:00,1/24/2017,10:32:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Barnes and Noble Bookstore,48,NULL,Fifth Street NW,NULL,NULL,1
17020194,2/1/2017,17:53:00,2/1/2017,18:12:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z4,"Northside Drive, NW @ Ethel Street, NW",NULL,NULL,NULL,NULL,NULL,1
17020195,2/1/2017,16:57:00,2/1/2017,19:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z1,Family Apartments Bldg D,251,NULL,Tenth Street NW,NULL,NULL,1
17020288,2/13/2017,15:52:00,2/13/2017,16:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Smith Residence Hall,630,NULL,Williams Street NW,33.77170733,-84.39125155,1
17020311,2/16/2017,17:00:00,2/17/2017,6:30:00,2903,Damage to Property � Public,Further Investigation,NULL,ONCAM,Z3,Van Leer Electrical Engineering Building   85  Z3,777,NULL,Atlantic Drive NW,33.77585591,-84.39717081,1
17010099,1/17/2017,12:30:00,1/17/2017,12:51:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Manufacturing Rel. Disc. Complex (MRDC)   135  Z3,801,NULL,Ferst Drive NW,33.77696792,-84.40050269,1
17010131,1/22/2017,1:12:00,1/22/2017,1:14:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,North Avenue Apartments South,120,NULL,"North Avenue, NW",NULL,NULL,1
17010186,1/31/2017,13:20:00,1/31/2017,13:53:00,2308,Larceny � From Building,Closed/Cleared,Cleared by Arrest,ONCAM,Z4,Student Center,351,NULL,"Ferst Drive, NW",33.77413608,-84.39881802,1
17020209,1/31/2017,7:15:00,1/31/2017,7:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,"Van Leer, Department of Electrical and Computer Engineering",30332,NULL,"777 Atlantic Dr.,  NW",33.77895641,-84.40131466,1
17020213,1/23/2017,9:56:00,2/2/2017,13:45:00,2606,Fraud � Bad/Worthless Check,Further Investigation,NULL,ONCAMRES,Z2,Smith Residence Hall,630,NULL,Williams Street NW,NULL,NULL,1
17020229,2/2/2017,17:00:00,2/3/2017,10:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,NULL,575,NULL,"14th Street, NW",NULL,NULL,1
17020232,2/6/2017,19:50:00,2/6/2017,20:30:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z1,"10th Street, NW @ Atlantic Drive, NW",NULL,NULL,NULL,NULL,NULL,1
17020249,2/8/2017,20:57:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Cloudman Residence Hall,661,NULL,Techwood Drive NW,33.77279729,-84.39162219,1
17020251,2/9/2017,5:25:00,2/9/2017,5:32:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Waffle House,66,NULL,Fifth Street NW,33.776725,-84.389468,1
17020271,2/11/2017,1:15:00,2/11/2017,1:30:00,4104,Liquor � Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Glenn Residence Hall   16   Z2,118,NULL,Bobby Dodd Way NW,33.77342207,-84.3916112,1
17020307,2/16/2017,18:30:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,Golf Practice Facility,525,NULL,"Fourteenth Street, NW",33.786492,-84.404292,1
17020315,2/17/2017,15:00:00,2/17/2017,15:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z4,NULL,855,NULL,McMillan Street NW,NULL,NULL,1
17010039,1/4/2017,15:30:00,1/4/2017,16:00:00,9999,Non-Crime (not reported to state),Further Investigation,NULL,ONCAM,Z1,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,33.77895641,-84.40131466,1
17010058,1/12/2017,18:48:00,1/12/2017,20:00:00,9999W,NULL,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,NAA,120,NULL,North Avenue NW,NULL,NULL,1
17010062,1/13/2017,9:45:00,1/13/2017,11:15:00,2308,Larceny � From Building,Inactive,NULL,ONCAM,Z4,Campus Recreation Center,750,NULL,Ferst Drive NW,33.77546401,-84.40349901,1
17010115,1/19/2017,17:45:00,1/19/2017,18:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Luckie Street, NW",NULL,NULL,NULL,33.771329,-84.39618,1
17020214,2/3/2017,14:00:00,2/3/2017,14:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Callaway Plaza,150,NULL,Block Bobby Dodd Way NW,33.7737574,-84.3929696,1
17020215,2/3/2017,19:53:00,2/3/2017,20:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Spring Street, NW",NULL,NULL,NULL,33.771329,-84.39618,1
17020351,2/21/2017,9:15:00,2/21/2017,9:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Success Center   31   Z2,219,NULL,Uncle Heinie Way NW,33.77244111,-84.39395201,1
17020371,2/23/2017,16:37:00,2/23/2017,17:14:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,NULL,NULL,NULL,"North Avenue, NW @ Fowler Street, NW",33.771339,-84.393678,1
17030457,3/8/2017,0:55:00,3/8/2017,1:25:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Perry-Matheson Residence Hall,715,NULL,"Techwood Drive, NW",NULL,NULL,1
17030477,3/10/2017,9:35:00,3/10/2017,10:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,NAA South  191  Z2,120,NULL,North Avenue NW,33.76932,-84.39182,1
17030480,2/24/2017,15:00:00,3/9/2017,12:00:00,2310,Larceny � From Mail ,Inactive,NULL,ONCAM,Z1,Student Center,351,NULL,"Ferst Drive, NW",33.77413608,-84.39881802,1
17030500,3/13/2017,16:12:00,3/13/2017,16:14:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAMRES,Z2,Lambda Chi Alpha Fraternity,792,NULL,"Techwood Drive, NW",33.77625976,-84.39238188,1
17010028,1/10/2017,11:50:00,1/10/2017,11:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,Coon Building,654,NULL,Cherry Street NW,NULL,NULL,1
17010033,1/10/2017,20:49:00,NULL,NULL,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z2,"North Avenue, NW / State Street, NW",NULL,NULL,NULL,NULL,NULL,1
17010034,1/10/2017,22:03:00,1/10/2017,22:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,College of Computing,801,NULL,"Atlantic Drive, NW",33.77740909,-84.39729157,1
17010048,1/12/2017,1:45:00,1/12/2017,2:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z3,Bunger-Henry Building   86  Z3,778,NULL,Atlantic Drive NW,33.77564885,-84.3982697,1
17010113,1/19/2017,4:02:00,1/19/2017,4:13:00,2902,Damage to Property � Private,Further Investigation,NULL,ONCAM,Z1,Center for Assist Tech. & Environ. Access,490,NULL,Tenth Street NW,33.78122,-84.40333207,1
17010156,1/25/2017,NULL,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z1,McCamish Pavilion,965,NULL,"Fowler Street, NW",33.77895641,-84.40131466,1
17010159,1/26/2017,17:23:00,1/26/2017,17:29:00,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,ONCAM,Z2,NULL,221,NULL,Uncle Heinie Way NW,NULL,NULL,1
17010179,1/29/2017,2:28:00,1/29/2017,2:50:00,3562,Marijuana � Possession of,Closed/Cleared,Prosecution Declined,PUB,Z1,"Tenth Street, NW at 75/85 South",NULL,NULL,NULL,33.781564,-84.39104,1
